movie_genre,name,duration,years_released,description
scifi,Star Wars: The Force Awakens,135,2015,A new hero rises in a galaxy far, far away.
Action,Gladiator,155,2000,A general becomes a gladiator seeking vengeance.
Comedy,Step Brothers,98,2008,Two grown men become stepbrothers and act like kids.
Drama,The Social Network,120,2010,The story of how Facebook was created.
Horror,The Babadook,94,2014,A mother and son are haunted by a monster from a book.
scifi,Gravity,91,2013,An astronaut fights to survive in space.
Action,The Avengers,143,2012,Heroes team up to stop an alien invasion.
Comedy,Anchorman 2,118,2013,A news team brings chaos to 24‑hour cable news.
Drama,The Departed,151,2006,An undercover cop and a mole in the police hunt each other.
Horror,Insidious,103,2010,A family tries to save their son from a spirit world.
scifi,Ready Player One,140,2018,Teens search for a hidden prize in a virtual world.
Action,Casino Royale,144,2006,James Bond’s first mission as 007.
Comedy,The 40-Year-Old Virgin,116,2005,A man who has never had sex tries to change that.
Drama,The Revenant,156,2015,A frontiersman survives a bear attack and betrayal.
Horror,The Witch,92,2015,A Puritan family is tormented by evil in the woods.
scifi,The Last Jedi,152,2017,The Resistance fights the First Order in a galaxy at war.
Action,Mission: Impossible – Fallout,147,2018,Ethan Hunt races to stop nuclear terrorists.
Comedy,Tropic Thunder,107,2008,Actors get lost in a real jungle during filming.
Drama,American Beauty,122,1999,A man reevaluates his life during a midlife crisis.
Horror,The Conjuring 2,134,2016,Paranormal investigators face a powerful demon.
scifi,The Mandalorian: A New Hope,120,2020,A lone bounty hunter protects a mysterious child.
Action,Logan,137,2017,An aging Wolverine protects a young mutant.
Comedy,Anchorman 2,118,2013,A news team brings chaos to 24‑hour cable news.
Drama,The Godfather Part II,202,1974,A young Don Vito rises to power in New York.
Horror,It Chapter Two,169,2019,Adult friends face the same evil that haunted them as kids.
scifi,The Rise of Skywalker,142,2019,The final battle between the Resistance and the First Order.
Action,The Dark Knight Rises,164,2012,Batman returns to save Gotham from a powerful enemy.
Comedy,Tropic Thunder,107,2008,Actors get lost in a real jungle during filming.
Drama,The Imitation Game,114,2014,Alan Turing cracks the Enigma code during WWII.
Horror,Midsommar,148,2019,A woman experiences a terrifying cult during a Swedish festival.
scifi,Gravity,91,2013,An astronaut fights to survive in space.
Action,The Avengers,143,2012,Heroes team up to stop an alien invasion.
Comedy,Step Brothers,98,2008,Two grown men become stepbrothers and act like kids.
Drama,The Departed,151,2006,An undercover cop and a mole in the police hunt each other.
Horror,Insidious,103,2010,A family tries to save their son from a spirit world.
scifi,Ready Player One,140,2018,Teens search for a hidden prize in a virtual world.
Action,Casino Royale,144,2006,James Bond’s first mission as 007.
Comedy,The 40-Year-Old Virgin,116,2005,A man who has never had sex tries to change that.
Drama,The Revenant,156,2015,A frontiersman survives a bear attack and betrayal.
Horror,The Witch,92,2015,A Puritan family is tormented by evil in the woods.
scifi,The Last Jedi,152,2017,The Resistance fights the First Order in a galaxy at war.
Action,Mission: Impossible – Fallout,147,2018,Ethan Hunt races to stop nuclear terrorists.
Comedy,Tropic Thunder,107,2008,Actors get lost in a real jungle during filming.
Drama,American Beauty,122,1999,A man reevaluates his life during a midlife crisis.
Horror,The Conjuring 2,134,2016,Paranormal investigators face a powerful demon.
scifi,The Mandalorian: A New Hope,120,2020,A lone bounty hunter protects a mysterious child.
Action,Logan,137,2017,An aging Wolverine protects a young mutant.
Comedy,Anchorman 2,118,2013,A news team brings chaos to 24‑hour cable news.
Drama,The Godfather Part II,202,1974,A young Don Vito rises to power in New York.
Horror,It Chapter Two,169,2019,Adult friends face the same evil that haunted them as kids.
scifi,The Rise of Skywalker,142,2019,The final battle between the Resistance and the First Order.
Action,The Dark Knight Rises,164,2012,Batman returns to save Gotham from a powerful enemy.
Comedy,Tropic Thunder,107,2008,Actors get lost in a real jungle during filming.
Drama,The Imitation Game,114,2014,Alan Turing cracks the Enigma code during WWII.
Horror,Midsommar,148,2019,A woman experiences a terrifying cult during a Swedish festival.
scifi,Gravity,91,2013,An astronaut fights to survive in space.
Action,The Avengers,143,2012,Heroes team up to stop an alien invasion.
Comedy,Step Brothers,98,2008,Two grown men become stepbrothers and act like kids.
Drama,The Departed,151,2006,An undercover cop and a mole in the police hunt each other.
Horror,Insidious,103,2010,A family tries to save their son from a spirit world.
scifi,Ready Player One,140,2018,Teens search for a hidden prize in a virtual world.
Action,Casino Royale,144,2006,James Bond’s first mission as 007.
Comedy,The 40-Year-Old Virgin,116,2005,A man who has never had sex tries to change that.
Drama,The Revenant,156,2015,A frontiersman survives a bear attack and betrayal.
Horror,The Witch,92,2015,A Puritan family is tormented by evil in the woods.
scifi,The Last Jedi,152,2017,The Resistance fights the First Order in a galaxy at war.
Action,Mission: Impossible – Fallout,147,2018,Ethan Hunt races to stop nuclear terrorists.
Comedy,Tropic Thunder,107,2008,Actors get lost in a real jungle during filming.
Drama,American Beauty,122,1999,A man reevaluates his life during a midlife crisis.
Horror,The Conjuring 2,134,2016,Paranormal investigators face a powerful demon.
scifi,The Mandalorian: A New Hope,120,2020,A lone bounty hunter protects a mysterious child.
Action,Logan,137,2017,An aging Wolverine protects a young mutant.
Comedy,Anchorman 2,118,2013,A news team brings chaos to 24‑hour cable news.
Drama,The Godfather Part II,202,1974,A young Don Vito rises to power in New York.
Horror,It Chapter Two,169,2019,Adult friends face the same evil that haunted them as kids.
scifi,The Rise of Skywalker,142,2019,The final battle between the Resistance and the First Order.
Action,The Dark Knight Rises,164,2012,Batman returns to save Gotham from a powerful enemy.
Comedy,Tropic Thunder,107,2008,Actors get lost in a real jungle during filming.
Drama,The Imitation Game,114,2014,Alan Turing cracks the Enigma code during WWII.
Horror,Midsommar,148,2019,A woman experiences a terrifying cult during a Swedish festival.
scifi,Gravity,91,2013,An astronaut fights to survive in space.
Action,The Avengers,143,2012,Heroes team up to stop an alien invasion.
Comedy,Step Brothers,98,2008,Two grown men become stepbrothers and act like kids.
Drama,The Departed,151,2006,An undercover cop and a mole in the police hunt each other.
Horror,Insidious,103,2010,A family tries to save their son from a spirit world.
scifi,Ready Player One,140,2018,Teens search for a hidden prize in a virtual world.
Action,Casino Royale,144,2006,James Bond’s first mission as 007.
Comedy,The 40-Year-Old Virgin,116,2005,A man who has never had sex tries to change that.
Drama,The Revenant,156,2015,A frontiersman survives a bear attack and betrayal.
Horror,The Witch,92,2015,A Puritan family is tormented by evil in the woods.
scifi,The Last Jedi,152,2017,The Resistance fights the First Order in a galaxy at war.
Action,Mission: Impossible – Fallout,147,2018,Ethan Hunt races to stop nuclear terrorists.
Comedy,Tropic Thunder,107,2008,Actors get lost in a real jungle during filming.
Drama,American Beauty,122,1999,A man reevaluates his life during a midlife crisis.
Horror,The Conjuring 2,134,2016,Paranormal investigators face a powerful demon.
scifi,The Mandalorian: A New Hope,120,2020,A lone bounty hunter protects a mysterious child.
Action,Logan,137,2017,An aging Wolverine protects a young mutant.
Comedy,Anchorman 2,118,2013,A news team brings chaos to 24‑hour cable news.
Drama,The Godfather Part II,202,1974,A young Don Vito rises to power in New York.
Horror,It Chapter Two,169,2019,Adult friends face the same evil that haunted them as kids.
scifi,The Rise of Skywalker,142,2019,The final battle between the Resistance and the First Order.
Action,The Dark Knight Rises,164,2012,Batman returns to save Gotham from a powerful enemy.
Comedy,Tropic Thunder,107,2008,Actors get lost in a real jungle during filming.
Drama,The Imitation Game,114,2014,Alan Turing cracks the Enigma code during WWII.
Horror,Midsommar,148,2019,A woman experiences a terrifying cult during a Swedish festival.
scifi,Gravity,91,2013,An astronaut fights to survive in space.
Action,The Avengers,143,2012,Heroes team up to stop an alien invasion.
Comedy,Step Brothers,98,2008,Two grown men become stepbrothers and act like kids.
Drama,The Departed,151,2006,An undercover cop and a mole in the police hunt each other.
Horror,Insidious,103,2010,A family tries to save their son from a spirit world.
scifi,Ready Player One,140,2018,Teens search for a hidden prize in a virtual world.
Action,Casino Royale,144,2006,James Bond’s first mission as 007.
Comedy,The 40-Year-Old Virgin,116,2005,A man who has never had sex tries to change that.
Drama,The Revenant,156,2015,A frontiersman survives a bear attack and betrayal.
Horror,The Witch,92,2015,A Puritan family is tormented by evil in the woods.
scifi,The Last Jedi,152,

